Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Australia,1/22/20,0,0,0,0,0,0,0
Australia,1/23/20,0,0,0,0,0,0,0
Australia,1/24/20,0,0,0,0,0,0,0
Australia,1/25/20,0,0,0,0,0,0,0
Australia,1/26/20,4,0,0,0,0,0,0
Australia,1/27/20,1,0,0,0,0,0,0
Australia,1/28/20,0,0,0,0,0,0,0
Australia,1/29/20,1,0,0,0,0,0,0
Australia,1/30/20,3,2,0,0,0,0,0
Australia,1/31/20,0,0,0,0,0,0,0
Australia,2/1/20,3,0,0,0,0,1,0
Australia,2/2/20,0,0,0,0,0,1,0
Australia,2/3/20,0,0,0,0,0,1,0
Australia,2/4/20,1,0,0,0,0,1,0
Australia,2/5/20,0,0,0,0,0,1,0
Australia,2/6/20,1,0,0,0,0,1,0
Australia,2/7/20,1,0,0,0,0,1,0
Australia,2/8/20,0,0,0,0,0,1,0
Australia,2/9/20,0,0,0,0,0,1,0
Australia,2/10/20,0,0,0,0,0,1,0
Australia,2/11/20,0,0,0,0,0,1,0
Australia,2/12/20,0,0,0,0,0,1,0
Australia,2/13/20,0,6,0,0,0,1,0
Australia,2/14/20,0,0,0,0,0,1,0
Australia,2/15/20,0,0,0,0,0,1,0
Australia,2/16/20,0,0,0,0,0,1,0
Australia,2/17/20,0,2,0,0,0,1,0
Australia,2/18/20,0,0,0,0,0,1,0
Australia,2/19/20,0,0,0,0,0,1,0
Australia,2/20/20,0,0,0,0,0,1,0
Australia,2/21/20,0,1,0,0,0,1,0
Australia,2/22/20,0,0,0,0,0,1,0
Australia,2/23/20,0,0,0,0,0,1,0
Australia,2/24/20,0,0,0,0,0,1,0
Australia,2/25/20,0,0,0,0,0,1,0
Australia,2/26/20,0,0,0,0,0,1,0
Australia,2/27/20,0,0,0,0,0,1,0
Australia,2/28/20,0,0,0,0,0,1,0
Australia,2/29/20,10,0,0,0,0,1,0
Australia,3/1/20,2,0,1,0,0,1,0
Australia,3/2/20,3,0,0,0,0,1,0
Australia,3/3/20,9,0,0,0,0,1,0
Australia,3/4/20,13,0,1,0,0,1,0
Australia,3/5/20,3,10,0,0,0,1,0
Australia,3/6/20,5,0,0,0,0,1,0
Australia,3/7/20,3,0,0,0,0,1,0
Australia,3/8/20,13,0,1,0,0,1,0
Australia,3/9/20,15,0,0,0,0,1,0
Australia,3/10/20,16,0,0,0,0,1,0
Australia,3/11/20,21,0,0,0,0,1,0
Australia,3/12/20,0,0,0,0,0,1,0
Australia,3/13/20,72,2,0,0,0,1,0
Australia,3/14/20,50,0,0,0,0,1,0
Australia,3/15/20,47,0,0,0,0,1,0
Australia,3/16/20,80,0,0,0,0,1,0
Australia,3/17/20,75,0,2,0,0,1,0
Australia,3/18/20,116,0,1,0,0,1,0
Australia,3/19/20,113,3,0,0,0,1,0
Australia,3/20/20,110,0,1,0,0,1,0
Australia,3/21/20,280,0,0,0,0,1,0
Australia,3/22/20,478,62,0,0,0,1,0
Australia,3/23/20,133,0,0,0,0,1,0
Australia,3/24/20,362,27,1,0,0,1,0
Australia,3/25/20,320,4,0,0,0,1,0
Australia,3/26/20,446,53,5,0,0,1,0
Australia,3/27/20,333,22,0,0,0,1,0
Australia,3/28/20,497,50,1,0,0,1,0
Australia,3/29/20,344,0,2,0,0,1,0
Australia,3/30/20,377,13,1,0,0,1,0
Australia,3/31/20,198,101,1,0,0,1,0
Australia,4/1/20,303,64,2,0,0,1,0
Australia,4/2/20,254,98,4,0,0,1,0
Australia,4/3/20,214,129,4,0,0,1,0
Australia,4/4/20,220,52,2,0,0,1,0
Australia,4/5/20,137,56,5,0,0,1,0
Australia,4/6/20,110,323,5,0,0,1,0
Australia,4/7/20,98,0,5,0,0,1,0
Australia,4/8/20,115,0,5,0,0,1,0
Australia,4/9/20,98,392,1,0,0,1,0
Australia,4/10/20,107,321,3,0,0,1,0
Australia,4/11/20,88,13,3,0,0,1,0
