Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Austria,1/22/20,0,0,0,0,0,0,0
Austria,1/23/20,0,0,0,0,0,0,0
Austria,1/24/20,0,0,0,0,0,0,0
Austria,1/25/20,0,0,0,0,0,0,0
Austria,1/26/20,0,0,0,0,0,0,0
Austria,1/27/20,0,0,0,0,0,0,0
Austria,1/28/20,0,0,0,0,0,0,0
Austria,1/29/20,0,0,0,0,0,0,0
Austria,1/30/20,0,0,0,0,0,0,0
Austria,1/31/20,0,0,0,0,0,0,0
Austria,2/1/20,0,0,0,0,0,0,0
Austria,2/2/20,0,0,0,0,0,0,0
Austria,2/3/20,0,0,0,0,0,0,0
Austria,2/4/20,0,0,0,0,0,0,0
Austria,2/5/20,0,0,0,0,0,0,0
Austria,2/6/20,0,0,0,0,0,0,0
Austria,2/7/20,0,0,0,0,0,0,0
Austria,2/8/20,0,0,0,0,0,0,0
Austria,2/9/20,0,0,0,0,0,0,0
Austria,2/10/20,0,0,0,0,0,0,0
Austria,2/11/20,0,0,0,0,0,0,0
Austria,2/12/20,0,0,0,0,0,0,0
Austria,2/13/20,0,0,0,0,0,0,0
Austria,2/14/20,0,0,0,0,0,0,0
Austria,2/15/20,0,0,0,0,0,0,0
Austria,2/16/20,0,0,0,0,0,0,0
Austria,2/17/20,0,0,0,0,0,0,0
Austria,2/18/20,0,0,0,0,0,0,0
Austria,2/19/20,0,0,0,0,0,0,0
Austria,2/20/20,0,0,0,0,0,0,0
Austria,2/21/20,0,0,0,0,0,0,0
Austria,2/22/20,0,0,0,0,0,0,0
Austria,2/23/20,0,0,0,0,0,0,0
Austria,2/24/20,0,0,0,0,0,0,0
Austria,2/25/20,2,0,0,0,0,0,0
Austria,2/26/20,0,0,0,0,0,0,0
Austria,2/27/20,1,0,0,0,0,0,0
Austria,2/28/20,0,0,0,0,0,0,0
Austria,2/29/20,6,0,0,0,0,0,0
Austria,3/1/20,5,0,0,0,0,0,0
Austria,3/2/20,4,0,0,0,0,0,0
Austria,3/3/20,3,0,0,0,0,0,0
Austria,3/4/20,8,0,0,0,0,0,0
Austria,3/5/20,12,0,0,0,0,0,0
Austria,3/6/20,14,0,0,0,0,0,0
Austria,3/7/20,24,0,0,0,0,0,0
Austria,3/8/20,25,0,0,0,0,0,0
Austria,3/9/20,27,2,0,0,0,0,0
Austria,3/10/20,51,2,0,1,1,1,0
Austria,3/11/20,64,0,0,1,1,1,0
Austria,3/12/20,56,0,1,1,1,1,0
Austria,3/13/20,202,2,0,1,1,1,0
Austria,3/14/20,151,0,0,1,1,1,0
Austria,3/15/20,205,0,0,1,1,1,0
Austria,3/16/20,158,0,2,1,1,1,0
Austria,3/17/20,314,-5,0,1,1,1,0
Austria,3/18/20,314,8,1,1,1,1,0
Austria,3/19/20,367,0,2,1,1,1,0
Austria,3/20/20,375,0,0,1,1,1,0
Austria,3/21/20,426,0,2,1,1,1,0
Austria,3/22/20,768,0,8,1,1,1,0
Austria,3/23/20,892,0,5,1,1,1,0
Austria,3/24/20,809,0,7,1,1,1,0
Austria,3/25/20,305,0,2,1,1,1,0
Austria,3/26/20,1321,103,19,1,1,1,0
Austria,3/27/20,748,113,9,1,1,1,0
Austria,3/28/20,614,0,10,1,1,1,0
Austria,3/29/20,517,254,18,1,1,1,0
Austria,3/30/20,830,157,22,1,1,1,0
Austria,3/31/20,562,459,20,1,1,1,0
Austria,4/1/20,531,341,18,1,1,1,0
Austria,4/2/20,418,313,12,1,1,1,0
Austria,4/3/20,395,273,10,1,1,1,0
Austria,4/4/20,257,485,18,1,1,1,0
Austria,4/5/20,270,491,18,1,1,1,0
Austria,4/6/20,246,465,16,1,1,1,0
Austria,4/7/20,342,583,23,1,1,1,0
Austria,4/8/20,303,466,30,1,1,1,0
Austria,4/9/20,302,728,22,1,1,1,0
Austria,4/10/20,311,824,24,1,1,1,0
Austria,4/11/20,251,540,18,1,1,1,0
