Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
China,1/22/20,548,28,17,0,0,0,0
China,1/23/20,95,2,1,0,0,0,0
China,1/24/20,277,6,8,0,0,0,0
China,1/25/20,486,3,16,0,0,0,0
China,1/26/20,669,10,14,0,0,0,0
China,1/27/20,802,9,26,0,0,0,0
China,1/28/20,2632,43,49,0,0,0,0
China,1/29/20,578,19,2,0,0,0,0
China,1/30/20,2054,15,38,0,0,0,0
China,1/31/20,1661,79,42,0,0,0,0
China,2/1/20,2089,61,46,1,1,0,0
China,2/2/20,4739,188,102,1,1,0,0
China,2/3/20,3086,151,64,1,1,1,0
China,2/4/20,3991,229,66,1,1,1,0
China,2/5/20,3733,272,72,1,1,1,0
China,2/6/20,3147,362,70,1,1,1,0
China,2/7/20,3523,522,85,1,1,1,0
China,2/8/20,2704,597,87,1,1,1,0
China,2/9/20,3015,623,100,1,1,1,0
China,2/10/20,2525,699,107,1,1,1,0
China,2/11/20,2032,718,100,1,1,1,0
China,2/12/20,373,446,5,1,1,1,0
China,2/13/20,15136,1135,252,1,1,1,0
China,2/14/20,6463,1760,152,1,1,1,0
China,2/15/20,2055,1321,142,1,1,1,0
China,2/16/20,2100,1457,103,1,1,1,0
China,2/17/20,1921,1707,98,1,1,1,0
China,2/18/20,1777,1744,139,1,1,1,0
China,2/19/20,408,1756,113,1,1,1,0
China,2/20/20,458,2052,122,1,1,1,0
China,2/21/20,473,690,0,1,1,1,0
China,2/22/20,1451,3995,205,1,1,1,0
China,2/23/20,21,488,2,1,1,1,0
China,2/24/20,219,1828,150,1,1,1,0
China,2/25/20,513,2661,70,1,1,1,0
China,2/26/20,412,2408,52,1,1,1,0
China,2/27/20,434,2846,29,1,1,1,0
China,2/28/20,328,3399,44,1,1,1,0
China,2/29/20,428,2991,47,1,1,1,0
China,3/1/20,576,2842,35,1,1,1,0
China,3/2/20,204,2692,42,1,1,1,0
China,3/3/20,125,2596,33,1,1,1,0
China,3/4/20,125,2551,36,1,1,1,0
China,3/5/20,151,2291,32,1,1,1,0
China,3/6/20,153,1652,29,1,1,1,0
China,3/7/20,80,1595,28,1,1,1,0
China,3/8/20,53,1849,28,1,1,1,0
China,3/9/20,37,1416,23,1,1,1,0
China,3/10/20,27,1377,16,1,1,1,0
China,3/11/20,34,1463,22,1,1,1,0
China,3/12/20,11,1257,11,1,1,1,0
China,3/13/20,13,1295,8,1,1,1,0
China,3/14/20,32,1464,13,1,1,1,0
China,3/15/20,26,1357,10,1,1,1,0
China,3/16/20,30,893,14,1,1,1,0
China,3/17/20,25,888,13,1,1,1,0
China,3/18/20,44,957,11,1,1,1,0
China,3/19/20,54,780,8,1,1,1,0
China,3/20/20,94,731,4,1,1,1,0
China,3/21/20,55,591,6,1,1,1,0
China,3/22/20,130,505,15,1,1,1,0
China,3/23/20,63,452,0,1,1,1,0
China,3/24/20,93,466,7,1,1,1,0
China,3/25/20,70,493,4,1,1,1,0
China,3/26/20,121,408,6,1,1,1,0
China,3/27/20,115,539,5,1,1,1,0
China,3/28/20,102,380,3,1,1,1,0
China,3/29/20,123,482,5,1,1,1,0
China,3/30/20,76,341,4,1,1,1,0
China,3/31/20,81,283,1,1,1,1,0
China,4/1/20,82,199,7,1,1,1,0
China,4/2/20,71,160,6,1,1,1,0
China,4/3/20,79,195,4,1,1,1,0
China,4/4/20,32,186,4,1,1,1,0
China,4/5/20,59,261,3,1,1,1,0
China,4/6/20,63,103,2,1,1,1,0
China,4/7/20,53,100,0,1,1,1,0
China,4/8/20,91,157,2,1,1,1,0
China,4/9/20,74,112,2,1,1,1,0
China,4/10/20,58,112,1,1,1,1,0
China,4/11/20,73,86,3,1,1,1,0
