Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Czechia,1/22/20,0,0,0,0,0,0,0
Czechia,1/23/20,0,0,0,0,0,0,0
Czechia,1/24/20,0,0,0,0,0,0,0
Czechia,1/25/20,0,0,0,0,0,0,0
Czechia,1/26/20,0,0,0,0,0,0,0
Czechia,1/27/20,0,0,0,0,0,0,0
Czechia,1/28/20,0,0,0,0,0,0,0
Czechia,1/29/20,0,0,0,0,0,0,0
Czechia,1/30/20,0,0,0,0,0,0,0
Czechia,1/31/20,0,0,0,0,0,1,0
Czechia,2/1/20,0,0,0,0,0,1,0
Czechia,2/2/20,0,0,0,0,0,1,0
Czechia,2/3/20,0,0,0,0,0,1,0
Czechia,2/4/20,0,0,0,0,0,1,0
Czechia,2/5/20,0,0,0,0,0,1,0
Czechia,2/6/20,0,0,0,0,0,1,0
Czechia,2/7/20,0,0,0,0,0,1,0
Czechia,2/8/20,0,0,0,0,0,1,0
Czechia,2/9/20,0,0,0,0,0,1,0
Czechia,2/10/20,0,0,0,0,0,1,0
Czechia,2/11/20,0,0,0,0,0,1,0
Czechia,2/12/20,0,0,0,0,0,1,0
Czechia,2/13/20,0,0,0,0,0,1,0
Czechia,2/14/20,0,0,0,0,0,1,0
Czechia,2/15/20,0,0,0,0,0,1,0
Czechia,2/16/20,0,0,0,0,0,1,0
Czechia,2/17/20,0,0,0,0,0,1,0
Czechia,2/18/20,0,0,0,0,0,1,0
Czechia,2/19/20,0,0,0,0,0,1,0
Czechia,2/20/20,0,0,0,0,0,1,0
Czechia,2/21/20,0,0,0,0,0,1,0
Czechia,2/22/20,0,0,0,0,0,1,0
Czechia,2/23/20,0,0,0,0,0,1,0
Czechia,2/24/20,0,0,0,0,0,1,0
Czechia,2/25/20,0,0,0,0,0,1,0
Czechia,2/26/20,0,0,0,0,0,1,0
Czechia,2/27/20,0,0,0,0,0,1,0
Czechia,2/28/20,0,0,0,0,0,1,0
Czechia,2/29/20,0,0,0,0,0,1,0
Czechia,3/1/20,3,0,0,0,0,1,0
Czechia,3/2/20,0,0,0,0,0,1,0
Czechia,3/3/20,2,0,0,0,0,1,0
Czechia,3/4/20,3,0,0,0,0,1,0
Czechia,3/5/20,4,0,0,0,0,1,0
Czechia,3/6/20,6,0,0,0,0,1,0
Czechia,3/7/20,1,0,0,0,0,1,0
Czechia,3/8/20,12,0,0,0,0,1,0
Czechia,3/9/20,0,0,0,0,0,1,0
Czechia,3/10/20,10,0,0,1,1,1,0
Czechia,3/11/20,50,0,0,1,1,1,0
Czechia,3/12/20,3,0,0,1,1,1,0
Czechia,3/13/20,47,0,0,1,1,1,0
Czechia,3/14/20,48,0,0,1,1,1,0
Czechia,3/15/20,64,0,0,1,1,1,0
Czechia,3/16/20,45,3,0,1,1,1,0
Czechia,3/17/20,98,0,0,1,1,1,0
Czechia,3/18/20,68,0,0,1,1,1,0
Czechia,3/19/20,230,0,0,1,1,1,0
Czechia,3/20/20,139,1,0,1,1,1,0
Czechia,3/21/20,162,2,0,1,1,1,0
Czechia,3/22/20,125,0,1,1,1,1,0
Czechia,3/23/20,116,0,0,1,1,1,0
Czechia,3/24/20,158,4,2,1,1,1,0
Czechia,3/25/20,260,0,3,1,1,1,0
Czechia,3/26/20,271,0,3,1,1,1,0
Czechia,3/27/20,354,1,0,1,1,1,0
Czechia,3/28/20,352,0,2,1,1,1,0
Czechia,3/29/20,186,0,5,1,1,1,0
Czechia,3/30/20,184,14,7,1,1,1,0
Czechia,3/31/20,307,20,8,1,1,1,0
Czechia,4/1/20,200,16,8,1,1,1,0
Czechia,4/2/20,350,6,5,1,1,1,0
Czechia,4/3/20,233,5,9,1,1,1,0
Czechia,4/4/20,381,6,6,1,1,1,0
Czechia,4/5/20,115,18,8,1,1,1,0
Czechia,4/6/20,235,25,11,1,1,1,0
Czechia,4/7/20,195,51,10,1,1,1,0
Czechia,4/8/20,295,61,11,1,1,1,0
Czechia,4/9/20,257,68,13,1,1,1,0
Czechia,4/10/20,163,45,7,1,1,1,0
Czechia,4/11/20,99,65,10,1,1,1,0
