Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Denmark,1/22/20,0,0,0,0,0,0,0
Denmark,1/23/20,0,0,0,0,0,0,0
Denmark,1/24/20,0,0,0,0,0,0,0
Denmark,1/25/20,0,0,0,0,0,0,0
Denmark,1/26/20,0,0,0,0,0,0,0
Denmark,1/27/20,0,0,0,0,0,0,0
Denmark,1/28/20,0,0,0,0,0,0,0
Denmark,1/29/20,0,0,0,0,0,0,0
Denmark,1/30/20,0,0,0,0,0,0,0
Denmark,1/31/20,0,0,0,0,0,0,0
Denmark,2/1/20,0,0,0,0,0,0,0
Denmark,2/2/20,0,0,0,0,0,0,0
Denmark,2/3/20,0,0,0,0,0,0,0
Denmark,2/4/20,0,0,0,0,0,0,0
Denmark,2/5/20,0,0,0,0,0,0,0
Denmark,2/6/20,0,0,0,0,0,0,0
Denmark,2/7/20,0,0,0,0,0,0,0
Denmark,2/8/20,0,0,0,0,0,0,0
Denmark,2/9/20,0,0,0,0,0,0,0
Denmark,2/10/20,0,0,0,0,0,0,0
Denmark,2/11/20,0,0,0,0,0,0,0
Denmark,2/12/20,0,0,0,0,0,0,0
Denmark,2/13/20,0,0,0,0,0,0,0
Denmark,2/14/20,0,0,0,0,0,0,0
Denmark,2/15/20,0,0,0,0,0,0,0
Denmark,2/16/20,0,0,0,0,0,0,0
Denmark,2/17/20,0,0,0,0,0,0,0
Denmark,2/18/20,0,0,0,0,0,0,0
Denmark,2/19/20,0,0,0,0,0,0,0
Denmark,2/20/20,0,0,0,0,0,0,0
Denmark,2/21/20,0,0,0,0,0,0,0
Denmark,2/22/20,0,0,0,0,0,0,0
Denmark,2/23/20,0,0,0,0,0,0,0
Denmark,2/24/20,0,0,0,0,0,0,0
Denmark,2/25/20,0,0,0,0,0,0,0
Denmark,2/26/20,0,0,0,0,0,0,0
Denmark,2/27/20,1,0,0,0,0,0,0
Denmark,2/28/20,0,0,0,0,0,0,0
Denmark,2/29/20,2,0,0,0,0,0,0
Denmark,3/1/20,1,0,0,0,0,0,0
Denmark,3/2/20,0,0,0,0,0,0,0
Denmark,3/3/20,2,0,0,0,0,0,0
Denmark,3/4/20,5,0,0,0,0,0,0
Denmark,3/5/20,0,0,0,0,0,0,0
Denmark,3/6/20,13,1,0,0,0,0,0
Denmark,3/7/20,0,0,0,0,0,0,0
Denmark,3/8/20,13,0,0,0,0,0,0
Denmark,3/9/20,55,0,0,0,0,0,0
Denmark,3/10/20,172,0,0,0,0,0,0
Denmark,3/11/20,180,0,0,0,0,1,0
Denmark,3/12/20,173,0,0,0,0,1,0
Denmark,3/13/20,187,0,0,1,0,1,0
Denmark,3/14/20,32,0,1,1,0,1,0
Denmark,3/15/20,39,0,1,1,0,1,0
Denmark,3/16/20,58,0,1,1,0,1,0
Denmark,3/17/20,92,0,1,1,0,1,0
Denmark,3/18/20,91,0,0,1,0,1,0
Denmark,3/19/20,109,0,2,1,0,1,0
Denmark,3/20/20,112,0,3,1,0,1,0
Denmark,3/21/20,83,0,4,1,0,1,0
Denmark,3/22/20,94,0,0,1,0,1,0
Denmark,3/23/20,58,0,11,1,0,1,0
Denmark,3/24/20,146,35,8,1,0,1,0
Denmark,3/25/20,144,5,2,1,0,1,0
Denmark,3/26/20,161,9,7,1,0,1,0
Denmark,3/27/20,177,7,11,1,0,1,0
Denmark,3/28/20,166,0,13,1,0,1,0
Denmark,3/29/20,198,16,7,1,0,1,0
Denmark,3/30/20,191,0,5,1,0,1,0
Denmark,3/31/20,284,4,13,1,0,1,0
Denmark,4/1/20,251,894,14,1,0,1,0
Denmark,4/2/20,283,201,19,1,0,1,0
Denmark,4/3/20,373,115,16,1,0,1,0
Denmark,4/4/20,323,92,22,1,0,1,0
Denmark,4/5/20,292,50,18,1,0,1,0
Denmark,4/6/20,314,60,8,1,0,1,0
Denmark,4/7/20,391,132,16,1,0,1,0
Denmark,4/8/20,331,142,15,1,0,1,0
Denmark,4/9/20,233,120,19,1,0,1,0
Denmark,4/10/20,184,46,10,1,0,1,0
Denmark,4/11/20,177,182,13,1,0,1,0
