Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
France,1/22/20,0,0,0,0,0,0,0
France,1/23/20,0,0,0,0,0,0,0
France,1/24/20,2,0,0,0,0,0,0
France,1/25/20,1,0,0,0,0,0,0
France,1/26/20,0,0,0,0,0,0,0
France,1/27/20,0,0,0,0,0,0,0
France,1/28/20,1,0,0,0,0,0,0
France,1/29/20,1,0,0,0,0,0,0
France,1/30/20,0,0,0,0,0,0,0
France,1/31/20,0,0,0,0,0,0,0
France,2/1/20,1,0,0,0,0,0,0
France,2/2/20,0,0,0,0,0,0,0
France,2/3/20,0,0,0,0,0,0,0
France,2/4/20,0,0,0,0,0,0,0
France,2/5/20,0,0,0,0,0,0,0
France,2/6/20,0,0,0,0,0,0,0
France,2/7/20,0,0,0,0,0,0,0
France,2/8/20,5,0,0,0,0,0,0
France,2/9/20,0,0,0,0,0,0,0
France,2/10/20,0,0,0,0,0,0,0
France,2/11/20,0,0,0,0,0,0,0
France,2/12/20,0,2,0,0,0,0,0
France,2/13/20,0,0,0,0,0,0,0
France,2/14/20,0,0,0,0,0,0,0
France,2/15/20,1,2,1,0,0,0,0
France,2/16/20,0,0,0,0,0,0,0
France,2/17/20,0,0,0,0,0,0,0
France,2/18/20,0,0,0,0,0,0,0
France,2/19/20,0,0,0,0,0,0,0
France,2/20/20,0,0,0,0,0,0,0
France,2/21/20,0,0,0,0,0,0,0
France,2/22/20,0,0,0,0,0,0,0
France,2/23/20,0,0,0,0,0,0,0
France,2/24/20,0,0,0,0,0,0,0
France,2/25/20,2,7,0,0,0,0,0
France,2/26/20,4,0,1,0,0,0,0
France,2/27/20,20,0,0,0,0,0,0
France,2/28/20,19,0,0,0,0,0,0
France,2/29/20,43,1,0,0,0,0,0
France,3/1/20,30,0,0,0,0,0,0
France,3/2/20,61,0,1,0,0,0,0
France,3/3/20,13,0,1,0,0,0,0
France,3/4/20,84,0,0,0,0,0,0
France,3/5/20,92,0,2,0,0,0,0
France,3/6/20,276,0,3,0,0,0,0
France,3/7/20,303,0,2,0,0,0,0
France,3/8/20,177,0,8,0,0,0,0
France,3/9/20,83,0,0,0,0,0,0
France,3/10/20,575,0,14,0,0,0,0
France,3/11/20,499,0,15,0,0,0,0
France,3/12/20,0,0,0,0,0,0,0
France,3/13/20,1388,0,31,0,0,0,0
France,3/14/20,815,0,12,0,0,0,0
France,3/15/20,36,0,0,0,1,0,0
France,3/16/20,2151,0,58,1,1,1,1
France,3/17/20,1032,0,0,1,1,1,1
France,3/18/20,1409,0,0,1,1,1,1
France,3/19/20,1846,0,95,1,1,1,1
France,3/20/20,1788,0,207,1,1,1,1
France,3/21/20,1705,0,112,1,1,1,1
France,3/22/20,1780,2194,113,1,1,1,1
France,3/23/20,3880,0,186,1,1,1,1
France,3/24/20,2499,1044,240,1,1,1,1
France,3/25/20,2978,657,231,1,1,1,1
France,3/26/20,3951,1048,365,1,1,1,1
France,3/27/20,3851,752,299,1,1,1,1
France,3/28/20,4703,17,320,1,1,1,1
France,3/29/20,2603,1502,294,1,1,1,1
France,3/30/20,4462,738,419,1,1,1,1
France,3/31/20,7657,1549,502,1,1,1,1
France,4/1/20,4922,1540,511,1,1,1,1
France,4/2/20,2180,1495,1355,1,1,1,1
France,4/3/20,5273,1587,1122,1,1,1,1
France,4/4/20,25646,1437,1054,1,1,1,1
France,4/5/20,2925,777,519,1,1,1,1
France,4/6/20,5190,1079,833,1,1,1,1
France,4/7/20,11102,2095,1417,1,1,1,1
France,4/8/20,3894,1929,544,1,1,1,1
France,4/9/20,4822,1961,1341,1,1,1,1
France,4/10/20,7150,1782,987,1,1,1,1
France,4/11/20,4796,1468,636,1,1,1,1
