Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Germany,1/22/20,0,0,0,0,0,0,0
Germany,1/23/20,0,0,0,0,0,0,0
Germany,1/24/20,0,0,0,0,0,0,0
Germany,1/25/20,0,0,0,0,0,0,0
Germany,1/26/20,0,0,0,0,0,0,0
Germany,1/27/20,1,0,0,0,0,0,0
Germany,1/28/20,3,0,0,0,0,1,0
Germany,1/29/20,0,0,0,0,0,1,0
Germany,1/30/20,0,0,0,0,0,1,0
Germany,1/31/20,1,0,0,0,0,1,0
Germany,2/1/20,3,0,0,0,0,1,0
Germany,2/2/20,2,0,0,0,0,1,0
Germany,2/3/20,2,0,0,0,0,1,0
Germany,2/4/20,0,0,0,0,0,1,0
Germany,2/5/20,0,0,0,0,0,1,0
Germany,2/6/20,0,0,0,0,0,1,0
Germany,2/7/20,1,0,0,0,0,1,0
Germany,2/8/20,0,0,0,0,0,1,0
Germany,2/9/20,1,0,0,0,0,1,0
Germany,2/10/20,0,0,0,0,0,1,0
Germany,2/11/20,2,0,0,0,0,1,0
Germany,2/12/20,0,0,0,0,0,1,0
Germany,2/13/20,0,1,0,0,0,1,0
Germany,2/14/20,0,0,0,0,0,1,0
Germany,2/15/20,0,0,0,0,0,1,0
Germany,2/16/20,0,0,0,0,0,1,0
Germany,2/17/20,0,0,0,0,0,1,0
Germany,2/18/20,0,11,0,0,0,1,0
Germany,2/19/20,0,0,0,0,0,1,0
Germany,2/20/20,0,0,0,0,0,1,0
Germany,2/21/20,0,2,0,0,0,1,0
Germany,2/22/20,0,0,0,0,0,1,0
Germany,2/23/20,0,0,0,0,0,1,0
Germany,2/24/20,0,0,0,0,0,1,0
Germany,2/25/20,1,0,0,0,0,1,0
Germany,2/26/20,10,1,0,0,0,1,0
Germany,2/27/20,19,1,0,0,0,1,0
Germany,2/28/20,2,0,0,0,0,1,0
Germany,2/29/20,31,0,0,0,0,1,0
Germany,3/1/20,51,0,0,0,0,1,0
Germany,3/2/20,29,0,0,0,0,1,0
Germany,3/3/20,37,0,0,0,0,1,0
Germany,3/4/20,66,0,0,0,0,1,0
Germany,3/5/20,220,0,0,0,0,1,0
Germany,3/6/20,188,1,0,0,0,1,0
Germany,3/7/20,129,1,0,0,0,1,0
Germany,3/8/20,241,0,0,0,0,1,0
Germany,3/9/20,136,0,2,0,1,1,0
Germany,3/10/20,281,0,0,0,1,1,0
Germany,3/11/20,451,7,1,0,1,1,0
Germany,3/12/20,170,0,0,0,1,1,0
Germany,3/13/20,1597,21,4,1,1,1,0
Germany,3/14/20,910,0,2,1,1,1,0
Germany,3/15/20,1210,0,2,1,1,1,0
Germany,3/16/20,1477,21,6,1,1,1,0
Germany,3/17/20,1985,0,7,1,1,1,0
Germany,3/18/20,3070,38,4,1,1,1,0
Germany,3/19/20,2993,8,16,1,1,1,0
Germany,3/20/20,4528,67,23,1,1,1,0
Germany,3/21/20,2365,53,17,1,1,1,0
Germany,3/22/20,2660,33,10,1,1,1,0
Germany,3/23/20,4183,0,29,1,1,1,0
Germany,3/24/20,3930,2977,34,1,1,1,0
Germany,3/25/20,4337,304,49,1,1,1,0
Germany,3/26/20,6615,2126,61,1,1,1,0
Germany,3/27/20,6933,985,75,1,1,1,0
Germany,3/28/20,6824,1823,91,1,1,1,0
Germany,3/29/20,4400,730,100,1,1,1,0
Germany,3/30/20,4790,4289,112,1,1,1,0
Germany,3/31/20,4923,2600,130,1,1,1,0
Germany,4/1/20,6064,2600,145,1,1,1,0
Germany,4/2/20,6922,3740,187,1,1,1,0
Germany,4/3/20,6365,2135,168,1,1,1,0
Germany,4/4/20,4933,1825,169,1,1,1,0
Germany,4/5/20,4031,2300,140,1,1,1,0
Germany,4/6/20,3251,0,226,1,1,1,0
Germany,4/7/20,4289,7381,206,1,1,1,0
Germany,4/8/20,5633,10219,333,1,1,1,0
Germany,4/9/20,4885,6107,258,1,1,1,0
Germany,4/10/20,3990,1506,160,1,1,1,0
Germany,4/11/20,2737,3487,-31,1,1,1,0
