Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
"Korea, South",1/22/20,1,0,0,0,0,0,0
"Korea, South",1/23/20,0,0,0,0,0,0,0
"Korea, South",1/24/20,1,0,0,0,0,0,0
"Korea, South",1/25/20,0,0,0,0,0,0,0
"Korea, South",1/26/20,1,0,0,0,0,0,0
"Korea, South",1/27/20,1,0,0,0,0,0,0
"Korea, South",1/28/20,0,0,0,0,0,0,0
"Korea, South",1/29/20,0,0,0,0,0,0,0
"Korea, South",1/30/20,0,0,0,0,0,0,0
"Korea, South",1/31/20,7,0,0,0,0,0,0
"Korea, South",2/1/20,1,0,0,0,0,0,0
"Korea, South",2/2/20,3,0,0,0,0,0,0
"Korea, South",2/3/20,0,0,0,0,0,0,0
"Korea, South",2/4/20,1,0,0,0,0,0,0
"Korea, South",2/5/20,3,0,0,0,0,0,0
"Korea, South",2/6/20,4,0,0,0,0,0,0
"Korea, South",2/7/20,1,1,0,0,0,0,0
"Korea, South",2/8/20,0,0,0,0,0,0,0
"Korea, South",2/9/20,1,2,0,0,0,0,0
"Korea, South",2/10/20,2,0,0,0,0,0,0
"Korea, South",2/11/20,1,0,0,0,0,0,0
"Korea, South",2/12/20,0,4,0,0,0,0,0
"Korea, South",2/13/20,0,0,0,0,0,0,0
"Korea, South",2/14/20,0,0,0,0,0,0,0
"Korea, South",2/15/20,0,2,0,0,0,0,0
"Korea, South",2/16/20,1,0,0,0,0,0,0
"Korea, South",2/17/20,1,1,0,0,0,0,0
"Korea, South",2/18/20,1,2,0,0,0,0,0
"Korea, South",2/19/20,0,0,0,0,0,0,0
"Korea, South",2/20/20,73,4,1,0,0,0,0
"Korea, South",2/21/20,100,0,1,0,0,0,0
"Korea, South",2/22/20,229,0,0,0,0,0,0
"Korea, South",2/23/20,169,2,4,0,0,0,0
"Korea, South",2/24/20,231,0,2,0,0,0,0
"Korea, South",2/25/20,144,4,2,0,1,0,0
"Korea, South",2/26/20,284,0,2,0,1,0,0
"Korea, South",2/27/20,505,0,1,0,1,0,0
"Korea, South",2/28/20,571,0,0,0,1,0,0
"Korea, South",2/29/20,813,5,3,0,1,0,0
"Korea, South",3/1/20,586,3,1,1,1,0,0
"Korea, South",3/2/20,599,0,11,1,1,0,0
"Korea, South",3/3/20,851,0,0,1,1,0,0
"Korea, South",3/4/20,435,11,7,1,1,0,0
"Korea, South",3/5/20,467,0,0,1,1,0,0
"Korea, South",3/6/20,505,94,7,1,1,0,0
"Korea, South",3/7/20,448,0,2,1,1,0,0
"Korea, South",3/8/20,273,-17,6,1,1,0,0
"Korea, South",3/9/20,164,0,3,1,1,0,0
"Korea, South",3/10/20,35,129,1,1,1,0,0
"Korea, South",3/11/20,242,41,6,1,1,1,0
"Korea, South",3/12/20,114,45,6,1,1,1,0
"Korea, South",3/13/20,110,177,0,1,1,1,0
"Korea, South",3/14/20,107,0,6,1,1,1,0
"Korea, South",3/15/20,76,0,3,1,1,1,0
"Korea, South",3/16/20,74,627,0,1,1,1,0
"Korea, South",3/17/20,84,270,6,1,1,1,0
"Korea, South",3/18/20,93,133,3,1,1,1,0
"Korea, South",3/19/20,152,0,7,1,1,1,0
"Korea, South",3/20/20,87,0,3,1,1,1,0
"Korea, South",3/21/20,147,0,8,1,1,1,0
"Korea, South",3/22/20,162,1369,9,1,1,1,0
"Korea, South",3/23/20,0,0,0,1,1,1,0
"Korea, South",3/24/20,76,598,9,1,1,1,0
"Korea, South",3/25/20,100,223,6,1,1,1,0
"Korea, South",3/26/20,104,414,5,1,1,1,0
"Korea, South",3/27/20,91,384,8,1,1,1,0
"Korea, South",3/28/20,146,283,5,1,1,1,0
"Korea, South",3/29/20,105,222,8,1,1,1,0
"Korea, South",3/30/20,78,195,6,1,1,1,0
"Korea, South",3/31/20,125,180,4,1,1,1,0
"Korea, South",4/1/20,101,159,3,1,1,1,0
"Korea, South",4/2/20,89,261,4,1,1,1,0
"Korea, South",4/3/20,86,193,5,1,1,1,0
"Korea, South",4/4/20,94,304,3,1,1,1,0
"Korea, South",4/5/20,81,138,6,1,1,1,0
"Korea, South",4/6/20,47,135,3,1,1,1,0
"Korea, South",4/7/20,47,96,6,1,1,1,0
"Korea, South",4/8/20,53,82,8,1,1,1,0
"Korea, South",4/9/20,39,197,4,1,1,1,0
"Korea, South",4/10/20,27,144,4,1,1,1,0
"Korea, South",4/11/20,30,126,3,1,1,1,0
