Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
South Africa,1/22/20,0,0,0,0,0,0,0
South Africa,1/23/20,0,0,0,0,0,0,0
South Africa,1/24/20,0,0,0,0,0,0,0
South Africa,1/25/20,0,0,0,0,0,0,0
South Africa,1/26/20,0,0,0,0,0,0,0
South Africa,1/27/20,0,0,0,0,0,0,0
South Africa,1/28/20,0,0,0,0,0,0,0
South Africa,1/29/20,0,0,0,0,0,0,0
South Africa,1/30/20,0,0,0,0,0,0,0
South Africa,1/31/20,0,0,0,0,0,0,0
South Africa,2/1/20,0,0,0,0,0,0,0
South Africa,2/2/20,0,0,0,0,0,0,0
South Africa,2/3/20,0,0,0,0,0,0,0
South Africa,2/4/20,0,0,0,0,0,0,0
South Africa,2/5/20,0,0,0,0,0,0,0
South Africa,2/6/20,0,0,0,0,0,0,0
South Africa,2/7/20,0,0,0,0,0,0,0
South Africa,2/8/20,0,0,0,0,0,0,0
South Africa,2/9/20,0,0,0,0,0,0,0
South Africa,2/10/20,0,0,0,0,0,0,0
South Africa,2/11/20,0,0,0,0,0,0,0
South Africa,2/12/20,0,0,0,0,0,0,0
South Africa,2/13/20,0,0,0,0,0,0,0
South Africa,2/14/20,0,0,0,0,0,0,0
South Africa,2/15/20,0,0,0,0,0,0,0
South Africa,2/16/20,0,0,0,0,0,0,0
South Africa,2/17/20,0,0,0,0,0,0,0
South Africa,2/18/20,0,0,0,0,0,0,0
South Africa,2/19/20,0,0,0,0,0,0,0
South Africa,2/20/20,0,0,0,0,0,0,0
South Africa,2/21/20,0,0,0,0,0,0,0
South Africa,2/22/20,0,0,0,0,0,0,0
South Africa,2/23/20,0,0,0,0,0,0,0
South Africa,2/24/20,0,0,0,0,0,0,0
South Africa,2/25/20,0,0,0,0,0,0,0
South Africa,2/26/20,0,0,0,0,0,0,0
South Africa,2/27/20,0,0,0,0,0,0,0
South Africa,2/28/20,0,0,0,0,0,0,0
South Africa,2/29/20,0,0,0,0,0,0,0
South Africa,3/1/20,0,0,0,0,0,0,0
South Africa,3/2/20,0,0,0,0,0,0,0
South Africa,3/3/20,0,0,0,0,0,0,0
South Africa,3/4/20,0,0,0,0,0,0,0
South Africa,3/5/20,1,0,0,0,0,0,0
South Africa,3/6/20,0,0,0,0,0,0,0
South Africa,3/7/20,0,0,0,0,0,0,0
South Africa,3/8/20,2,0,0,0,0,0,0
South Africa,3/9/20,0,0,0,0,0,0,0
South Africa,3/10/20,4,0,0,0,0,0,0
South Africa,3/11/20,6,0,0,0,0,0,0
South Africa,3/12/20,4,0,0,0,0,0,0
South Africa,3/13/20,7,0,0,0,0,0,0
South Africa,3/14/20,14,0,0,0,0,0,0
South Africa,3/15/20,13,0,0,0,0,0,0
South Africa,3/16/20,11,0,0,0,0,0,0
South Africa,3/17/20,0,0,0,0,0,0,0
South Africa,3/18/20,54,0,0,1,0,0,0
South Africa,3/19/20,34,0,0,1,0,0,0
South Africa,3/20/20,52,0,0,1,0,0,0
South Africa,3/21/20,38,0,0,1,0,0,0
South Africa,3/22/20,34,0,0,1,0,0,0
South Africa,3/23/20,128,0,0,1,0,0,0
South Africa,3/24/20,152,4,0,1,0,0,0
South Africa,3/25/20,155,8,0,1,0,0,0
South Africa,3/26/20,218,0,0,1,1,0,0
South Africa,3/27/20,243,19,1,1,1,0,0
South Africa,3/28/20,17,0,0,1,1,0,0
South Africa,3/29/20,93,0,1,1,1,0,0
South Africa,3/30/20,46,0,1,1,1,0,0
South Africa,3/31/20,27,0,2,1,1,0,0
South Africa,4/1/20,27,19,0,1,1,0,0
South Africa,4/2/20,82,0,0,1,1,0,0
South Africa,4/3/20,43,45,4,1,1,0,0
South Africa,4/4/20,80,0,0,1,1,0,0
South Africa,4/5/20,70,0,2,1,1,0,0
South Africa,4/6/20,31,0,1,1,1,0,0
South Africa,4/7/20,63,0,1,1,1,0,0
South Africa,4/8/20,96,0,5,1,1,0,0
South Africa,4/9/20,89,0,0,1,1,0,0
South Africa,4/10/20,69,315,6,1,1,0,0
South Africa,4/11/20,25,0,1,1,1,0,0
