Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
Spain,1/22/20,0,0,0,0,0,0,0
Spain,1/23/20,0,0,0,0,0,0,0
Spain,1/24/20,0,0,0,0,0,0,0
Spain,1/25/20,0,0,0,0,0,0,0
Spain,1/26/20,0,0,0,0,0,0,0
Spain,1/27/20,0,0,0,0,0,0,0
Spain,1/28/20,0,0,0,0,0,0,0
Spain,1/29/20,0,0,0,0,0,0,0
Spain,1/30/20,0,0,0,0,0,0,0
Spain,1/31/20,0,0,0,0,0,0,0
Spain,2/1/20,1,0,0,0,0,0,0
Spain,2/2/20,0,0,0,0,0,0,0
Spain,2/3/20,0,0,0,0,0,0,0
Spain,2/4/20,0,0,0,0,0,0,0
Spain,2/5/20,0,0,0,0,0,0,0
Spain,2/6/20,0,0,0,0,0,0,0
Spain,2/7/20,0,0,0,0,0,0,0
Spain,2/8/20,0,0,0,0,0,0,0
Spain,2/9/20,1,0,0,0,0,0,0
Spain,2/10/20,0,0,0,0,0,0,0
Spain,2/11/20,0,0,0,0,0,0,0
Spain,2/12/20,0,0,0,0,0,0,0
Spain,2/13/20,0,0,0,0,0,0,0
Spain,2/14/20,0,0,0,0,0,0,0
Spain,2/15/20,0,2,0,0,0,0,0
Spain,2/16/20,0,0,0,0,0,0,0
Spain,2/17/20,0,0,0,0,0,0,0
Spain,2/18/20,0,0,0,0,0,0,0
Spain,2/19/20,0,0,0,0,0,0,0
Spain,2/20/20,0,0,0,0,0,0,0
Spain,2/21/20,0,0,0,0,0,0,0
Spain,2/22/20,0,0,0,0,0,0,0
Spain,2/23/20,0,0,0,0,0,0,0
Spain,2/24/20,0,0,0,0,0,0,0
Spain,2/25/20,4,0,0,0,0,0,0
Spain,2/26/20,7,0,0,0,0,0,0
Spain,2/27/20,2,0,0,0,0,0,0
Spain,2/28/20,17,0,0,0,0,0,0
Spain,2/29/20,13,0,0,0,0,0,0
Spain,3/1/20,39,0,0,0,0,0,0
Spain,3/2/20,36,0,0,0,0,0,0
Spain,3/3/20,45,0,1,0,0,0,0
Spain,3/4/20,57,0,1,0,0,0,0
Spain,3/5/20,37,0,1,0,0,0,0
Spain,3/6/20,141,0,2,0,0,0,0
Spain,3/7/20,100,28,5,0,0,0,0
Spain,3/8/20,173,0,7,0,0,0,0
Spain,3/9/20,400,2,11,1,0,0,0
Spain,3/10/20,622,0,7,1,0,1,0
Spain,3/11/20,582,151,19,1,0,1,0
Spain,3/12/20,0,0,1,1,0,1,0
Spain,3/13/20,2955,10,78,1,0,1,0
Spain,3/14/20,1159,324,62,1,0,1,0
Spain,3/15/20,1407,0,94,1,0,1,0
Spain,3/16/20,2144,13,53,1,0,1,0
Spain,3/17/20,1806,498,191,1,0,1,0
Spain,3/18/20,2162,53,90,1,0,1,0
Spain,3/19/20,4053,26,207,1,0,1,0
Spain,3/20/20,2447,481,213,1,0,1,0
Spain,3/21/20,4964,537,332,1,0,1,0
Spain,3/22/20,3394,450,397,1,0,1,0
Spain,3/23/20,6368,0,539,1,0,1,0
Spain,3/24/20,4749,1219,497,1,0,1,0
Spain,3/25/20,9630,1573,839,1,0,1,0
Spain,3/26/20,8271,1648,718,1,0,1,0
Spain,3/27/20,7933,2342,773,1,0,1,0
Spain,3/28/20,7516,2928,844,1,0,1,0
Spain,3/29/20,6875,2424,821,1,0,1,0
Spain,3/30/20,7846,2071,913,1,0,1,0
Spain,3/31/20,7967,2479,748,1,0,1,0
Spain,4/1/20,8195,3388,923,1,0,1,0
Spain,4/2/20,7947,4096,961,1,0,1,0
Spain,4/3/20,7134,3770,850,1,0,1,0
Spain,4/4/20,6969,3706,749,1,0,1,0
Spain,4/5/20,5478,3861,694,1,0,1,0
Spain,4/6/20,5029,2357,700,1,0,1,0
Spain,4/7/20,5267,2771,704,1,0,1,0
Spain,4/8/20,6278,4813,747,1,0,1,0
Spain,4/9/20,5002,4144,655,1,0,1,0
Spain,4/10/20,5051,3503,634,1,0,1,0
Spain,4/11/20,4754,3441,525,1,0,1,0
