Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
US,1/22/20,1,0,0,0,0,1,0
US,1/23/20,0,0,0,0,0,1,0
US,1/24/20,1,0,0,0,0,1,0
US,1/25/20,0,0,0,0,0,1,0
US,1/26/20,3,0,0,0,0,1,0
US,1/27/20,0,0,0,0,0,1,0
US,1/28/20,0,0,0,0,0,1,0
US,1/29/20,0,0,0,0,0,1,0
US,1/30/20,0,0,0,0,0,1,0
US,1/31/20,2,0,0,0,0,1,0
US,2/1/20,1,0,0,0,0,1,0
US,2/2/20,0,0,0,0,0,1,0
US,2/3/20,3,0,0,0,0,1,0
US,2/4/20,0,0,0,0,0,1,0
US,2/5/20,0,0,0,0,0,1,0
US,2/6/20,0,0,0,1,0,1,0
US,2/7/20,0,0,0,1,0,1,0
US,2/8/20,0,0,0,1,0,1,0
US,2/9/20,0,3,0,1,0,1,0
US,2/10/20,0,0,0,1,0,1,0
US,2/11/20,1,0,0,1,0,1,0
US,2/12/20,0,0,0,1,0,1,0
US,2/13/20,1,0,0,1,0,1,0
US,2/14/20,0,0,0,1,0,1,0
US,2/15/20,0,0,0,1,0,1,0
US,2/16/20,0,0,0,1,0,1,0
US,2/17/20,0,0,0,1,0,1,0
US,2/18/20,0,0,0,1,0,1,0
US,2/19/20,0,0,0,1,0,1,0
US,2/20/20,0,0,0,1,0,1,0
US,2/21/20,2,2,0,1,0,1,0
US,2/22/20,0,0,0,1,0,1,0
US,2/23/20,0,0,0,1,0,1,0
US,2/24/20,36,0,0,1,0,1,0
US,2/25/20,0,1,0,1,0,1,0
US,2/26/20,6,0,0,1,0,1,0
US,2/27/20,1,0,0,1,0,1,0
US,2/28/20,2,1,0,1,0,1,0
US,2/29/20,8,0,1,1,0,1,0
US,3/1/20,6,0,0,1,0,1,0
US,3/2/20,24,0,5,1,0,1,0
US,3/3/20,20,0,1,1,0,1,0
US,3/4/20,31,0,4,1,0,1,0
US,3/5/20,68,0,1,1,0,1,0
US,3/6/20,45,0,2,1,0,1,0
US,3/7/20,140,0,3,1,0,1,0
US,3/8/20,116,0,4,1,0,1,0
US,3/9/20,65,0,1,1,0,1,0
US,3/10/20,376,1,6,1,0,1,0
US,3/11/20,322,0,8,1,0,1,0
US,3/12/20,382,4,4,1,0,1,0
US,3/13/20,516,0,7,1,0,1,0
US,3/14/20,548,0,7,1,0,1,0
US,3/15/20,772,0,9,1,0,1,0
US,3/16/20,1133,5,22,1,0,1,0
US,3/17/20,1789,0,23,1,0,1,0
US,3/18/20,1362,88,10,1,0,1,0
US,3/19/20,5964,16,82,1,0,1,0
US,3/20/20,5526,26,44,1,0,1,0
US,3/21/20,6327,29,63,1,0,1,0
US,3/22/20,7676,2,110,1,0,1,0
US,3/23/20,10571,0,140,1,0,1,0
US,3/24/20,9893,170,149,1,0,1,0
US,3/25/20,12038,13,236,1,0,1,0
US,3/26/20,18058,320,267,1,0,1,0
US,3/27/20,17821,188,372,1,0,1,0
US,3/28/20,19808,203,445,1,0,1,0
US,3/29/20,19444,1593,441,1,0,1,0
US,3/30/20,20922,2979,511,1,0,1,0
US,3/31/20,26341,1380,895,1,0,1,0
US,4/1/20,25200,1450,884,1,0,1,0
US,4/2/20,30390,527,1169,1,0,1,0
US,4/3/20,31824,706,1161,1,0,1,0
US,4/4/20,33267,4945,1320,1,0,1,0
US,4/5/20,28219,2796,1212,1,0,1,0
US,4/6/20,29595,2133,1164,1,0,1,0
US,4/7/20,29556,2182,1939,1,0,1,0
US,4/8/20,32829,1796,1973,1,0,1,0
US,4/9/20,32385,1851,1783,1,0,1,0
US,4/10/20,35098,3380,2108,1,0,1,0
US,4/11/20,29861,2480,1877,1,0,1,0
