Country/Region,Date,Confirmed_Cases,Recoveries,Deaths,Online_School,Social_Distancing,Travel_Ban,Army_Deployed
United Kingdom,1/22/20,0,0,0,0,0,0,0
United Kingdom,1/23/20,0,0,0,0,0,0,0
United Kingdom,1/24/20,0,0,0,0,0,0,0
United Kingdom,1/25/20,0,0,0,0,0,0,0
United Kingdom,1/26/20,0,0,0,0,0,0,0
United Kingdom,1/27/20,0,0,0,0,0,0,0
United Kingdom,1/28/20,0,0,0,0,0,0,0
United Kingdom,1/29/20,0,0,0,0,0,0,0
United Kingdom,1/30/20,0,0,0,0,0,0,0
United Kingdom,1/31/20,2,0,0,0,0,0,0
United Kingdom,2/1/20,0,0,0,0,0,0,0
United Kingdom,2/2/20,0,0,0,0,0,0,0
United Kingdom,2/3/20,0,0,0,0,0,0,0
United Kingdom,2/4/20,0,0,0,0,0,0,0
United Kingdom,2/5/20,0,0,0,0,0,0,0
United Kingdom,2/6/20,0,0,0,0,0,0,0
United Kingdom,2/7/20,1,0,0,0,0,0,0
United Kingdom,2/8/20,0,0,0,0,0,0,0
United Kingdom,2/9/20,0,0,0,0,0,0,0
United Kingdom,2/10/20,5,0,0,0,0,0,0
United Kingdom,2/11/20,0,0,0,0,0,0,0
United Kingdom,2/12/20,1,1,0,0,0,0,0
United Kingdom,2/13/20,0,0,0,0,0,0,0
United Kingdom,2/14/20,0,0,0,0,0,0,0
United Kingdom,2/15/20,0,0,0,0,0,0,0
United Kingdom,2/16/20,0,7,0,0,0,0,0
United Kingdom,2/17/20,0,0,0,0,0,0,0
United Kingdom,2/18/20,0,0,0,0,0,0,0
United Kingdom,2/19/20,0,0,0,0,0,0,0
United Kingdom,2/20/20,0,0,0,0,0,0,0
United Kingdom,2/21/20,0,0,0,0,0,0,0
United Kingdom,2/22/20,0,0,0,0,0,0,0
United Kingdom,2/23/20,0,0,0,0,0,0,0
United Kingdom,2/24/20,4,0,0,0,0,0,0
United Kingdom,2/25/20,0,0,0,0,0,0,0
United Kingdom,2/26/20,0,0,0,0,0,1,0
United Kingdom,2/27/20,2,0,0,0,0,1,0
United Kingdom,2/28/20,5,0,0,0,0,1,0
United Kingdom,2/29/20,3,0,0,0,0,1,0
United Kingdom,3/1/20,13,0,0,0,0,1,0
United Kingdom,3/2/20,4,0,0,0,0,1,0
United Kingdom,3/3/20,11,0,0,0,0,1,0
United Kingdom,3/4/20,35,0,0,0,0,1,0
United Kingdom,3/5/20,30,0,1,0,0,1,0
United Kingdom,3/6/20,48,0,1,0,0,1,0
United Kingdom,3/7/20,43,10,0,0,0,1,0
United Kingdom,3/8/20,67,0,1,0,0,1,0
United Kingdom,3/9/20,48,0,1,0,0,1,0
United Kingdom,3/10/20,62,1,2,0,0,1,0
United Kingdom,3/11/20,75,0,2,0,0,1,0
United Kingdom,3/12/20,0,0,0,0,0,1,0
United Kingdom,3/13/20,343,0,0,0,0,1,0
United Kingdom,3/14/20,342,0,13,0,0,1,0
United Kingdom,3/15/20,1,0,0,0,0,1,0
United Kingdom,3/16/20,406,2,35,0,1,1,0
United Kingdom,3/17/20,409,32,0,0,1,1,0
United Kingdom,3/18/20,682,14,16,0,1,1,0
United Kingdom,3/19/20,74,0,66,0,1,1,0
United Kingdom,3/20/20,1298,0,40,1,1,1,0
United Kingdom,3/21/20,1053,0,56,1,1,1,0
United Kingdom,3/22/20,678,0,48,1,1,1,0
United Kingdom,3/23/20,981,0,54,1,1,1,0
United Kingdom,3/24/20,1438,73,87,1,1,1,0
United Kingdom,3/25/20,1476,0,43,1,1,1,0
United Kingdom,3/26/20,2172,10,114,1,1,1,0
United Kingdom,3/27/20,2933,1,181,1,1,1,0
United Kingdom,3/28/20,2567,0,260,1,1,1,0
United Kingdom,3/29/20,2468,0,210,1,1,1,0
United Kingdom,3/30/20,2673,20,180,1,1,1,0
United Kingdom,3/31/20,3028,8,382,1,1,1,0
United Kingdom,4/1/20,4384,0,564,1,1,1,0
United Kingdom,4/2/20,4308,13,569,1,1,1,0
United Kingdom,4/3/20,4516,16,685,1,1,1,0
United Kingdom,4/4/20,3788,7,709,1,1,1,0
United Kingdom,4/5/20,5959,14,623,1,1,1,0
United Kingdom,4/6/20,3843,58,442,1,1,1,0
United Kingdom,4/7/20,3670,38,786,1,1,1,0
United Kingdom,4/8/20,5525,20,940,1,1,1,0
United Kingdom,4/9/20,4398,14,882,1,1,1,0
United Kingdom,4/10/20,8733,229,981,1,1,1,0
United Kingdom,4/11/20,5269,34,918,1,1,1,0
